[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3720609901.29649,11/23/2017,1:47 pm
BYAPP,SQUID AC,0.9.1.0
INFO,MPMS3 Measurement Release 1.1.16 Build 347, MultiVu Release 2.3.3.2,APPNAME
INFO,0,MOMENT_UNITS
INFO,Er(COT)I(THF)2,SAMPLE_MATERIAL
INFO,pink cyrstalline powder in 28.8 mg eicosane,SAMPLE_COMMENT
INFO,26.3,SAMPLE_MASS
INFO,28.8,SAMPLE_VOLUME
INFO,542.53,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,65.79,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3720610041.02044,11.1026692390442,-0.232215464115143,,,5,,,,21.5700007975101,,,,,5.675461762531E-5,6.04127466048367E-8,44.6569755380522,0.00903515641152056,2.83685173858973E-5,3.01970152226843E-8,2.01793055729591E-5,2.5939880972859E-8,1.99391174645994E-5,1.54590524765567E-8,2.00061980163702,999.040954589844,2,1998,1,5,0.108696954465075,0.168410700927026,0.0269327480345964,352.687438964844,11.0985317230225,11.1037120819092,-0.232215464115143,-0.232215464115143,,,0.286798715591431,0,1,,,,,,1,1,3,11.1035394668579,0,0,11.1009126186371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3720610079.40751,11.0998086929321,-0.232215464115143,,,5,,,,21.5700007975101,,,,,6.55377412639978E-5,2.24774991485843E-8,38.9866759174015,0.00107838615570644,3.2766125114154E-5,1.12378079431979E-8,2.54688563700006E-5,8.46520523393761E-9,2.06144684675756E-5,7.39111816408833E-9,2.00016758269923,787.550415039063,2,1575,1,5,0.151156854287822,0.17459512367851,0.0265590250492096,354.307922363281,11.0988798141479,11.1014842987061,-0.232215464115143,-0.232215464115143,,,0.286090284585953,0,1,,,,,,1,1,3,11.100025177002,0,0,11.0998595311091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3720610120.92407,11.1000409126282,-0.232215464115143,,,5,,,,21.5700007975101,,,,,7.23012922884697E-5,1.92849245370781E-8,33.9797557714317,0.000420214398622062,3.6137820338178E-5,9.6390412411396E-9,2.99667490460083E-5,6.32313594138345E-9,2.019742583618E-5,7.27523662262438E-9,2.00070982731868,621.025451660156,2,1242,1,5,0.188103902406252,0.171296399312181,0.0264004766941071,355.871032714844,11.0991363525391,11.1015319824219,-0.232215464115143,-0.232215464115143,,,0.285781890153885,0,1,,,,,,1,1,3,11.1001501083374,0,0,11.0999544858932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3720610162.43069,11.0998530387878,-0.232215464115143,,,5,,,,21.5700007975101,,,,,7.78801877479854E-5,1.4382694857499E-8,28.8917322589494,0.000176815682120266,3.89262405713358E-5,7.188789039631E-9,3.4081257046215E-5,3.40765623877531E-9,1.88074486086586E-5,6.32981570147619E-9,2.00071177192832,489.505035400391,2,979,1,5,0.221710675144084,0.160667340262751,0.0263220835477114,357.396820068359,11.0989542007446,11.1015691757202,-0.232215464115143,-0.232215464115143,,,0.285503566265106,0,1,,,,,,1,1,3,11.0998630523682,0,0,11.1000051033206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3720610201.17131,11.09991979599,-0.232215464115143,,,5,,,,21.5700007975101,,,,,8.22655124958859E-5,1.29131289621729E-8,24.1483503886968,0.000138870881960825,4.11413904712428E-5,6.45791978582567E-9,3.7541077481461E-5,4.46417529947064E-9,1.68309688205467E-5,4.66646192052982E-9,1.99958026584902,385.993103027344,2,771,1,5,0.249604035898966,0.145808342423661,0.0262754987925291,358.865264892578,11.0988988876343,11.1014728546143,-0.232215464115143,-0.232215464115143,,,0.285317867994308,0,1,,,,,,1,1,3,11.1000318527222,0,0,11.0999783465737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3720610239.63597,11.0998997688293,-0.232215464115143,,,5,,,,21.5700007975101,,,,,8.58557076985741E-5,2.41937283335612E-8,19.8422468211209,0.000239265379884158,4.29285839487803E-5,1.20970699053304E-8,4.03799459493837E-5,5.95628768303734E-9,1.45713172010057E-5,1.05290900523905E-8,1.99996598539127,303.751953125,2,607,1,5,0.272346795525602,0.129556684143409,0.0262214075773954,0.334381103515625,11.0990085601807,11.1014575958252,-0.232215464115143,-0.232215464115143,,,0.285139203071594,0,1,,,,,,1,1,3,11.0998630523682,0,0,11.1000034181695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3720610278.19262,11.0998101234436,-0.232215464115143,,,5,,,,21.5700007975101,,,,,8.85183700553818E-5,2.06349562199562E-8,16.1165321919704,0.000201378161715004,4.42631312208973E-5,1.03183980266463E-8,4.2523550214909E-5,4.56931501016777E-9,1.22870851953786E-5,9.25152410006876E-9,1.99982169389749,239.353561401367,2,478,1,5,0.289277104075812,0.11389352920158,0.0261381138116121,1.81985473632813,11.0990982055664,11.1013336181641,-0.232215464115143,-0.232215464115143,,,0.284984588623047,0,1,,,,,,1,1,3,11.0998058319092,0,0,11.1000241229409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3720610316.92931,11.0998382568359,-0.232215464115143,,,5,,,,21.5700007975101,,,,,9.02742306814027E-5,2.58955798024487E-8,12.9829998764394,0.000241744654981038,4.51482090623398E-5,1.29509721864881E-8,4.39940748610522E-5,6.58237772927566E-9,1.01430842773232E-5,1.11534740778076E-8,1.99950856426561,188.890228271484,2,377,1,5,0.300786950714284,0.100176562220249,0.0260232780128717,3.392822265625,11.098916053772,11.1015272140503,-0.232215464115143,-0.232215464115143,,,0.284721463918686,0,1,,,,,,1,1,3,11.0999965667725,0,0,11.099947301965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3720610359.27783,11.0999021530151,-0.232215464115143,,,5,,,,21.5700007975101,,,,,9.14942513221478E-5,1.57398577372758E-8,10.3508833552095,0.000126443051767832,4.57553134611061E-5,7.87133742497698E-9,4.5010685034716E-5,5.39183565287843E-9,8.22112781981076E-6,5.73463696760242E-9,1.99964210495294,148.866241455078,2,297,1,5,0.308679444686647,0.0891902466852196,0.0258402153849602,5.11459350585937,11.0988931655884,11.1014461517334,-0.232215464115143,-0.232215464115143,,,0.284674137830734,0,1,,,,,,1,1,3,11.0998287200928,0,0,11.0999372296217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3720610398.12894,11.0999388694763,-0.232215464115143,,,5,,,,21.5700007975101,,,,,9.23188387981253E-5,2.17902229540662E-8,8.1981276612937,0.000200433711305933,4.61499044871849E-5,1.08928656510034E-8,4.5678293595599E-5,5.53792940267676E-9,6.58081897415084E-6,9.38007782599792E-9,2.00041234806371,117.093826293945,2,234,1,5,0.313837559912058,0.0813475544492068,0.0255373325198889,7.06829833984375,11.098952293396,11.1014976501465,-0.232215464115143,-0.232215464115143,,,0.284525871276855,0,1,,,,,,1,1,3,11.0999841690063,0,0,11.1000172966405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
