[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3765697694.43407,04/29/2019,12:09 pm
BYAPP,SQUID AC,0.9.1.0
INFO,MPMS3 Measurement Release 1.1.16 Build 399, MultiVu Release 2.3.4.15,APPNAME
INFO,0,MOMENT_UNITS
INFO,K(18-c-6)_Er(hdcCOT)2,SAMPLE_MATERIAL
INFO,yellow crystalline powder,SAMPLE_COMMENT
INFO,7.2,SAMPLE_MASS
INFO,22.7,SAMPLE_VOLUME
INFO,839.24,SAMPLE_MOLECULAR_WEIGHT
INFO,-125.81E-6,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Standard,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,66.35,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3765699270.59636,2.00029414892197,-0.415543466806412,,,6,,,,31.494945526123,,,100,,,,,,,,,,,,,,,,,,,,,,1.99174475669861,2.0144989490509,-0.415543466806412,-0.415543466806412,,,2.31730604171753,,1,0,0,0,0.013885498046875,33.2355842590332,5,1,1,1.99960219860077,0,2084573184,2.00025304367668,,,0.0982308664812178,0.00503380187923301,0.100873848658031,0.00503622739496547,0.770389020442963,0.955024421215057,30.6309776306152,0,35,4,200,-0.012488279491663,-4.65302562713623,4.84174013137817,1,,,,,,,,,,,,,,,,
,3765699285.11701,2.00113075971603,-0.415543466806412,,,6,,,,31.494945526123,,,100,,,,,,,,,,,,,,,,,,,,,,1.99479472637177,2.00283765792847,-0.415543466806412,-0.415543466806412,,,2.32625293731689,,1,0,0,0,0.013885498046875,33.2355842590332,6,1,1,2.00269913673401,0,2084573184,1.99946781396866,,,0.0861594730466033,0.00441374026302733,0.0884723990373147,0.00441607711717292,0.771764516830444,0.96033638715744,30.6327419281006,5.09266757965088,35,4,200,-0.00895060040056706,-3.67596411705017,0.853176593780518,1,,,,,,,,,,,,,,,,
,3765699294.86395,2.00105786323547,-0.415543466806412,,,6,,,,31.494945526123,,,100,,,,,,,,,,,,,,,,,,,,,,1.99826943874359,2.00327205657959,-0.415543466806412,-0.415543466806412,,,2.33056616783142,,1,0,0,0,0.013885498046875,33.7243423461914,5,1,1,1.99941658973694,0,2084573184,2.00070773363113,,,0.0773205683997893,0.00396007474721164,0.0793870314852903,0.0039621304100752,0.772678673267364,0.963326036930084,30.6343307495117,,35,4,200,-0.00695375585928559,-3.28302335739136,0.769092977046967,1,,,,,,,,,,,,,,,,
,3765699304.62205,2.00103449821472,-0.415543466806412,,,6,,,,31.494945526123,,,100,,,,,,,,,,,,,,,,,,,,,,1.99691498279572,2.00378060340881,-0.415543466806412,-0.415543466806412,,,2.33444619178772,,1,0,0,0,0.013885498046875,33.2355842590332,5,1,1,2.00350666046143,0,2084573184,2.00003538131714,,,0.0702822833182041,0.00359908600169917,0.0721516223096653,0.00360074821547103,0.773274838924408,0.965426802635193,30.6356105804443,0.196286633610725,35,4,200,-0.00559984846040607,-2.968594789505,0.700692236423492,1,,,,,,,,,,,,,,,,
,3765699314.32709,2.00229132175446,-0.415543466806412,,,6,,,,31.494945526123,,,100,,,,,,,,,,,,,,,,,,,,,,1.99704790115356,2.00383543968201,-0.415543466806412,-0.415543466806412,,,2.33323097229004,,1,0,0,0,0.013885498046875,33.2355842590332,5,1,1,2.00107598304749,0,2084573184,2.00027245283127,,,0.064592636474341,0.00330726993212821,0.0663088707233464,0.00330901215357817,0.773851096630096,0.96677827835083,30.6369781494141,0,35,4,200,-0.00467096036300063,-2.72690367698669,0.641348659992218,1,,,,,,,,,,,,,,,,
,3765699324.02125,2.00141990184784,-0.415543466806412,,,6,,,,31.494945526123,,,100,,,,,,,,,,,,,,,,,,,,,,1.99475800991058,2.00323867797852,-0.415543466806412,-0.415543466806412,,,2.33757662773132,,1,0,0,0,0.013885498046875,32.7468223571777,5,1,1,2.00176382064819,0,2084573184,2.00017187595367,,,0.0598338707572749,0.00306327534896247,0.0614175676406672,0.00306480585045753,0.774313569068909,0.967940807342529,30.6381607055664,,35,4,200,-0.00400598254054785,-2.51862525939941,0.596077740192413,1,,,,,,,,,,,,,,,,
,3765699333.72583,2.00151789188385,-0.415543466806412,,,6,,,,31.494945526123,,,100,,,,,,,,,,,,,,,,,,,,,,1.9968523979187,2.0053129196167,-0.415543466806412,-0.415543466806412,,,2.3393726348877,,1,0,0,0,0.013885498046875,33.2355842590332,5,1,1,2.00273656845093,0,2084573184,1.99943928718567,,,0.0557810091324786,0.00285553077821173,0.0572526119955741,0.00285689644800541,0.774684369564056,0.968737483024597,30.6392421722412,0.283227354288101,35,4,200,-0.00350101385265589,-2.3474612236023,0.550295531749725,1,,,,,,,,,,,,,,,,
,3765699343.55631,2.00119686126709,-0.415543466806412,,,6,,,,31.494945526123,,,100,,,,,,,,,,,,,,,,,,,,,,1.99560940265656,2.004154920578,-0.415543466806412,-0.415543466806412,,,2.33895349502563,,1,0,0,0,0.013885498046875,33.2355842590332,5,1,1,2.00048828125,0,2084573184,1.99994776248932,,,0.0522529193051906,0.00267471163588143,0.0536267436127629,0.00267591336342284,0.775016725063324,0.969386756420136,30.6403026580811,5.09648036956787,35,4,200,-0.00307901622727513,-2.19547843933105,0.523155093193054,1,,,,,,,,,,,,,,,,
,3765699353.29811,2.00112450122833,-0.415543466806412,,,6,,,,31.494945526123,,,100,,,,,,,,,,,,,,,,,,,,,,1.99724364280701,2.00494933128357,-0.415543466806412,-0.415543466806412,,,2.34076261520386,,1,0,0,0,0.013885498046875,33.7243423461914,1,1,1,2.00176072120666,0,2084573184,2.00039882659912,,,0.0491763792425339,0.00251701411882924,0.0504676429539542,0.00251823294567398,0.775379836559296,0.969976961612701,30.6413097381592,0.19622765481472,35,4,200,-0.00276317470706999,-2.05974960327148,0.492060571908951,1,,,,,,,,,,,,,,,,
,3765699363.01382,2.00274312496185,-0.415543466806412,,,6,,,,31.494945526123,,,100,,,,,,,,,,,,,,,,,,,,,,1.99586534500122,2.00569581985474,-0.415543466806412,-0.415543466806412,,,2.34343147277832,,1,0,0,0,0.013885498046875,33.2355842590332,1,1,1,2.00372552871704,0,2084573184,2.00091202259064,,,0.046485997185912,0.00237913347012906,0.0477032684014517,0.00238026824312773,0.77569454908371,0.970360457897186,30.6423358917236,0,35,4,200,-0.00248351716436446,-1.94911289215088,0.466518104076385,1,,,,,,,,,,,,,,,,
