[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3765254776.59291,04/24/2019,9:07 am
BYAPP,SQUID AC,0.9.1.0
INFO,MPMS3 Measurement Release 1.1.16 Build 399, MultiVu Release 2.3.4.15,APPNAME
INFO,0,MOMENT_UNITS
INFO,K(18-c-6)_Er(hdcCOT)2,SAMPLE_MATERIAL
INFO,yellow crystalline powder,SAMPLE_COMMENT
INFO,7.2,SAMPLE_MASS
INFO,22.7,SAMPLE_VOLUME
INFO,839.24,SAMPLE_MOLECULAR_WEIGHT
INFO,-125.81E-6,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Standard,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,66.57,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3765255498.28532,2.00137138366699,70000.375,,,6,,,,31.3976535797119,,,1000,,,,,,,,,,,,,,,,,,,,,,1.99721479415894,2.00166344642639,70000.375,70000.375,,,2.56195211410522,,1,0,0,0,0.013885498046875,32.7468223571777,1,1,1,2.00107932090759,0,1816138976,2.00002929568291,,,0.232584971691443,0.011874447674655,0.238160139178214,0.0118796593848452,0.786354959011078,0.985134780406952,30.5782814025879,,35,4,200,0.000235555053222924,-4.56324911117554,4.8023509979248,1,,,,,,,,,,,,,,,,
,3765255539.81674,2.00070190429687,69000.3125,,,6,,,,31.3976535797119,,,1000,,,,,,,,,,,,,,,,,,,,,,1.99773609638214,2.0016565322876,69000.3125,69000.3125,,,2.55966329574585,,1,0,0,0,0.013885498046875,33.2355842590332,1,1,1,2.00000381469727,0,1816138976,2.00009627342224,,,0.232619115692856,0.0118769518493162,0.238208931628958,0.0118820794192247,0.786069869995117,0.985226929187775,30.5770015716553,3.05554676742759E-5,35,4,200,0.000144221456139348,-0.954986453056335,0.230678901076317,1,,,,,,,,,,,,,,,,
,3765255572.25916,2.00105714797974,68000.3828125,,,6,,,,31.3976535797119,,,1000,,,,,,,,,,,,,,,,,,,,,,1.99810171127319,2.0012743473053,68000.3828125,68000.3828125,,,2.55964684486389,,1,0,0,0,0.013885498046875,33.2355842590332,1,1,1,2.00083994865417,0,1816139264,2.00004278421402,,,0.232560744721103,0.0118748267279964,0.238169821465494,0.0118801294632593,0.785747885704041,0.985207080841064,30.5759544372559,3.0822389817331E-5,35,4,200,0.000193491694517434,-0.955243229866028,0.23037388920784,1,,,,,,,,,,,,,,,,
,3765255603.59986,2.00098431110382,67000.1953125,,,6,,,,31.3976535797119,,,1000,,,,,,,,,,,,,,,,,,,,,,1.99774277210236,2.00149345397949,67000.1953125,67000.1953125,,,2.56305861473083,,1,0,0,0,0.013885498046875,33.2355842590332,1,1,1,2.0011100769043,0,1816139008,2.00006132125854,,,0.232491110549332,0.0118720024450456,0.238115057400976,0.0118773982842457,0.785473644733429,0.985202491283417,30.5748271942139,0.000158699593157507,35,4,200,0.00019076481112279,-0.954603850841522,0.230732098221779,1,,,,,,,,,,,,,,,,
,3765255634.46164,2.00131297111511,66000.1875,,,6,,,,31.3976535797119,,,1000,,,,,,,,,,,,,,,,,,,,,,1.99714589118958,2.00158381462097,66000.1875,66000.1875,,,2.56426596641541,,1,0,0,0,0.013885498046875,32.7468223571777,1,1,1,2.00151991844177,0,1816139200,2.00012432336807,,,0.232414914600376,0.011868818888957,0.238048011519932,0.0118740556680144,0.785209476947784,0.98520290851593,30.5737915039063,0,35,4,200,0.000193228406715207,-0.953901052474976,0.230091169476509,1,,,,,,,,,,,,,,,,
,3765255666.04482,2.00094532966614,65000.2265625,,,6,,,,31.3976535797119,,,1000,,,,,,,,,,,,,,,,,,,,,,1.99782013893127,2.00144577026367,65000.2265625,65000.2265625,,,2.56438159942627,,1,0,0,0,0.013885498046875,32.7468223571777,1,1,1,2.00058698654175,0,1816139264,2.00010290145874,,,0.232316547637833,0.0118646431219969,0.237969558509538,0.0118701416287798,0.784892380237579,0.985206007957459,30.5725727081299,INF,35,4,200,0.000181706083822064,-0.954735457897186,0.229811787605286,1,,,,,,,,,,,,,,,,
,3765255696.17004,2.00133895874023,64000.375,,,6,,,,31.3976535797119,,,1000,,,,,,,,,,,,,,,,,,,,,,1.99745833873749,2.00151777267456,64000.375,64000.375,,,2.56549978256226,,1,0,0,0,0.013885498046875,33.2355842590332,1,1,1,2.00116014480591,0,1816138976,2.00017021894455,,,0.232224815896719,0.0118605491132915,0.237887638860987,0.0118660558587364,0.784671783447266,0.9852055311203,30.5716915130615,5.52916717529297,35,4,200,0.000183518743142486,-0.953530251979828,0.230626881122589,1,,,,,,,,,,,,,,,,
,3765255726.61769,2.0012868642807,63000.40234375,,,6,,,,31.3976535797119,,,1000,,,,,,,,,,,,,,,,,,,,,,1.99749851226807,2.00157809257507,63000.40234375,63000.40234375,,,2.56753492355347,,1,0,0,0,0.013885498046875,32.7468223571777,1,1,1,2.00112152099609,0,1816139040,2.00016696453094,,,0.232134753102391,0.0118566851090113,0.237800960334359,0.0118617317720977,0.784397721290588,0.985216796398163,30.5706405639648,0.182592153549194,35,4,200,0.000187547047971748,-0.953790783882141,0.229909390211105,1,,,,,,,,,,,,,,,,
,3765255757.86134,2.00106132030487,62000.40625,,,6,,,,31.3976535797119,,,1000,,,,,,,,,,,,,,,,,,,,,,1.99739551544189,2.00148224830627,62000.40625,62000.40625,,,2.56758737564087,,1,0,0,0,0.013885498046875,33.2355842590332,1,1,1,2.00077772140503,0,1816139232,2.00018010139465,,,0.232024582098592,0.0118516847571476,0.237707026422517,0.0118570475982185,0.784164011478424,0.985210716724396,30.5697059631348,,35,4,200,0.000174621673068032,-0.953174889087677,0.230068877339363,1,,,,,,,,,,,,,,,,
,3765255788.48797,2.00148725509644,61000.3125,,,6,,,,31.3976535797119,,,1000,,,,,,,,,,,,,,,,,,,,,,1.99803733825684,2.00173687934875,61000.3125,61000.3125,,,2.56786942481995,,1,0,0,0,0.013885498046875,33.2355842590332,1,1,1,2.00123763084412,0,1816139136,2.00023137331009,,,0.231927101554737,0.0118472872633757,0.237622363325958,0.0118528260972909,0.783946692943573,0.985193371772766,30.5688552856445,0,35,4,200,0.000173824315425009,-0.953308463096619,0.229510277509689,1,,,,,,,,,,,,,,,,
