[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3764744147.23462,04/18/2019,11:16 am
BYAPP,SQUID AC,0.9.1.0
INFO,MPMS3 Measurement Release 1.1.16 Build 399, MultiVu Release 2.3.4.15,APPNAME
INFO,0,MOMENT_UNITS
INFO,K(18-c-6)_Er(hdcCOT)2,SAMPLE_MATERIAL
INFO,yellow crystalline powder,SAMPLE_COMMENT
INFO,7.2,SAMPLE_MASS
INFO,22.7,SAMPLE_VOLUME
INFO,839.24,SAMPLE_MOLECULAR_WEIGHT
INFO,-125.81E-6,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,66.44,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3764745666.84624,2.00318431854248,999.907531738281,,,6,,,,30.5443703447874,,,10,,,,,,,,,,,,,,,,,,,,,,1.99688267707825,2.00359725952148,999.907531738281,999.907531738281,,,2.84970021247864,,1,0,0,0,0.013885498046875,33.2355842590332,1,1,1,2.00277137756348,0,2085105664,1.99982533454895,,,0.00683780131350763,0.000341281922457368,0.00683888099592707,0.000341284186858621,0.962242901325226,0.966481626033783,30.6102752685547,2.03900435735704E-5,35,4,200,0.00113629444967955,-2.70255732536316,0.631705462932587,1,,,,,,,,,,,,,,,,
,3764745683.63969,2.18668019771576,999.907531738281,,,6,,,,30.5443703447874,,,10,,,,,,,,,,,,,,,,,,,,,,2.06627702713013,2.30196237564087,999.907531738281,999.907531738281,,,3.0325756072998,,1,0,0,0,0.0147247314453125,33.2355842590332,6,1,1,2.30708336830139,0,2085105664,2.1753909111023,,,0.00670675066793805,0.000334758065855817,0.00670782349007777,0.00033476005449676,0.96091639995575,0.965072453022003,30.6108703613281,0,35,4,200,-0.00135212100576609,-2.6727409362793,0.628886997699738,1,,,,,,,,,,,,,,,,
,3764745719.03295,3.13695073127747,999.907531738281,,,6,,,,30.5443703447874,,,10,,,,,,,,,,,,,,,,,,,,,,3.00386738777161,3.26135993003845,999.907531738281,999.907531738281,,,3.55175256729126,,1,0,0,0,0.0147247314453125,33.7243423461914,6,1,1,3.27003407478333,0,2085105664,3.12679769992828,,,0.00587165611378126,0.000293073714172281,0.00587259429127187,0.000293074909132754,0.961066365242004,0.965288758277893,30.6112327575684,2.06780478038127E-5,35,4,200,-0.00115477631334215,-2.37646627426147,0.511472284793854,1,,,,,,,,,,,,,,,,
,3764745754.99671,4.14362406730652,999.907531738281,,,6,,,,30.5443703447874,,,10,,,,,,,,,,,,,,,,,,,,,,4.0185866355896,4.28150415420532,999.907531738281,999.907531738281,,,3.97485136985779,,1,0,0,0,0.0147247314453125,32.7468223571777,6,1,1,4.28150415420532,0,2085105664,4.14697031974792,,,0.00524383594030423,0.000261736166949313,0.005244697805621,0.000261737185807882,0.961162149906158,0.965533912181854,30.6122436523438,,35,4,200,-0.00109470100142062,-2.04525804519653,0.530972838401794,1,,,,,,,,,,,,,,,,
,3764745789.16998,5.14313888549805,999.907531738281,,,6,,,,30.5443703447874,,,10,,,,,,,,,,,,,,,,,,,,,,5.00458145141602,5.28169631958008,999.907531738281,999.907531738281,,,4.30793190002441,,1,0,0,0,0.0147247314453125,32.7468223571777,6,1,1,5.28169631958008,0,2085105664,5.14259123802185,,,0.00482705470236762,0.000240931541799713,0.00482786050866279,0.000240932322045322,0.961358785629272,0.965850114822388,30.6129150390625,0,35,4,200,-0.000325350731145591,-1.90029549598694,0.465592414140701,1,,,,,,,,,,,,,,,,
,3764745822.68565,6.15582227706909,999.907531738281,,,6,,,,30.5443703447874,,,10,,,,,,,,,,,,,,,,,,,,,,6.0059757232666,6.29882907867432,999.907531738281,999.907531738281,,,4.57479095458984,,1,0,0,0,0.0147247314453125,33.2355842590332,6,1,1,6.30566883087158,0,2085105664,6.15072064399719,,,0.00456322297396883,0.000227762203483612,0.00456400723121785,0.000227763254460928,0.961446702480316,0.966054081916809,30.6136589050293,5.53296089172363,35,4,200,-4.45389523520134E-5,-1.80118370056152,0.430348813533783,1,,,,,,,,,,,,,,,,
,3764745855.26309,7.15966892242432,999.907531738281,,,6,,,,30.5443703447874,,,10,,,,,,,,,,,,,,,,,,,,,,7.00532341003418,7.29441261291504,999.907531738281,999.907531738281,,,4.79992008209229,,1,0,0,0,0.0147247314453125,32.7468223571777,6,1,1,7.31401443481445,0,2085105664,7.1490948677063,,,0.00443043893792114,0.00022113437542426,0.00443120420948124,0.000221134754242257,0.961471736431122,0.966193675994873,30.6144313812256,2.15023374039447E-5,35,4,200,0.000238093198277056,-1.75017440319061,0.411112636327744,1,,,,,,,,,,,,,,,,
,3764745887.12831,8.15975713729858,999.907531738281,,,6,,,,30.5443703447874,,,10,,,,,,,,,,,,,,,,,,,,,,8.00543308258057,8.29630565643311,999.907531738281,999.907531738281,,,4.99842691421509,,1,0,0,0,0.0147247314453125,33.2355842590332,6,1,1,8.3140811920166,0,2085105664,8.14898405075073,,,0.00448324209510295,0.00022377340060786,0.00448405499788928,0.000223774297125058,0.961074411869049,0.965925335884094,30.61572265625,,35,4,200,0.000909389753360301,-1.7736611366272,0.420686155557632,1,,,,,,,,,,,,,,,,
,3764745918.9367,9.15725231170654,999.907531738281,,,6,,,,30.5443703447874,,,10,,,,,,,,,,,,,,,,,,,,,,9.00295829772949,9.31154632568359,999.907531738281,999.907531738281,,,5.169114112854,,1,0,0,0,0.0147247314453125,32.7468223571777,6,1,1,9.31154632568359,0,2085105664,9.15926189422607,,,0.00521364282575109,0.000260279237428034,0.00521467985456355,0.00026028053519465,0.95650190114975,0.961206436157227,30.6189842224121,0.191324889659882,35,4,200,0.00369621999561787,-2.06340050697327,0.531557083129883,1,,,,,,,,,,,,,,,,
,3764745950.80921,10.1611042022705,999.907531738281,,,6,,,,30.5443703447874,,,10,,,,,,,,,,,,,,,,,,,,,,10.0078811645508,10.3048248291016,999.907531738281,999.907531738281,,,5.31890201568604,,1,0,0,0,0.0147247314453125,32.7468223571777,6,1,1,10.3143272399902,0,2085105664,10.1575504302979,,,0.00693413700464398,0.00034618735294823,0.00693566158084086,0.00034618980399278,0.955431401729584,0.960483014583588,30.6225261688232,0,35,4,200,0.00537156313657761,-2.79535031318665,0.661409020423889,1,,,,,,,,,,,,,,,,
