[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3765464791.22163,04/26/2019,7:27 pm
BYAPP,SQUID AC,0.9.1.0
INFO,MPMS3 Measurement Release 1.1.16 Build 399, MultiVu Release 2.3.4.15,APPNAME
INFO,0,MOMENT_UNITS
INFO,K(18-c-6)_Er(hdcCOT)2,SAMPLE_MATERIAL
INFO,yellow crystalline powder,SAMPLE_COMMENT
INFO,7.2,SAMPLE_MASS
INFO,22.7,SAMPLE_VOLUME
INFO,839.24,SAMPLE_MOLECULAR_WEIGHT
INFO,-125.81E-6,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Standard,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,66.54,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3765465082.44612,13.9997162818909,0,,,5,,,,31.5000005066395,,,,,1.00625768661988E-6,5.94588389322348E-8,4.25560912067859,0.0398799891500161,5.03079267288015E-7,2.97264900646909E-8,5.01692240155803E-7,2.24400846369753E-8,3.73315596044178E-8,1.9496328194087E-8,2.00019709030028,999.040954589844,2,1998,1,5,0.0034196809121297,0.0010280553897312,0.0268615055829287,352.335357666016,13.9983358383179,14.0020980834961,0,0,,,5.89779090881348,,1,,,,,,1,1,1,13.9993572235107,0,0,14.0000639955203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3765465126.99981,13.9996900558472,0,,,5,,,,31.5000005066395,,,,,1.07719451578049E-6,2.07720312543033E-8,1.45180342527931,0.0160360416507039,5.3844390828506E-7,1.03830585170429E-8,5.38271062973377E-7,5.75022336825984E-9,1.36420355812625E-8,8.64539388249344E-9,2.00056960289763,789.141418457031,2,1578,1,5,0.00372971927648351,0.000764020820811904,0.0264927819371223,353.990447998047,13.9984378814697,14.0023317337036,0,0,,,5.878333568573,,1,,,,,,1,1,1,13.9994201660156,0,0,13.9998473470861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3765465169.09873,13.9996137619019,0,,,5,,,,31.5000005066395,,,,,1.10220698152506E-6,1.35818055783308E-8,4.36376005179136,0.0106145353488285,5.51277421541417E-7,6.79304602910358E-9,5.49679311328338E-7,3.36905138912681E-9,4.19458007309045E-8,5.89872588708296E-9,1.9993689900145,624.001586914062,2,1248,1,5,0.00379041105912378,0.000855630593156664,0.0263490695506334,355.602172851562,13.9986543655396,14.0016345977783,0,0,,,5.86339473724365,,1,,,,,,1,1,1,13.9994144439697,0,0,13.9999184154329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3765465211.23148,13.9999976158142,0,,,5,,,,31.5000005066395,,,,,1.07049041839327E-6,1.50055071689775E-8,5.18449294799157,0.010138617735249,5.35118146480674E-7,7.50097249381994E-9,5.32928920226803E-7,5.1966227295068E-9,4.83549033584551E-8,5.40922365596179E-9,2.0004748959339,491.971038818359,2,983,1,5,0.00368245725879431,0.000798348743258279,0.0262756533920765,357.197967529297,13.9988965988159,14.0017166137695,0,0,,,5.8458662033081,,1,,,,,,1,1,1,13.9997100830078,0,0,14.0000494321187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3765465253.35596,13.9998211860657,0,,,5,,,,31.5000005066395,,,,,1.07757933085123E-6,1.67963619734907E-8,5.515946601698,0.01334377057876,5.38584772418307E-7,8.39498729416232E-9,5.36090846989269E-7,4.23237495311752E-9,5.1770269993579E-8,7.25002164999321E-9,2.00076085703792,389.068725585937,2,778,1,5,0.00371093936984532,0.000766654973527931,0.0262037869542837,358.717315673828,13.9989213943481,14.0012874603271,0,0,,,5.82008504867554,,1,,,,,,1,1,1,13.9996500015259,0,0,13.999929359981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3765465297.82864,13.9999055862427,0,,,5,,,,31.5000005066395,,,,,1.11552687215413E-6,3.05708664672029E-8,7.19598338787582,0.0244716814796616,5.5790096703499E-7,1.52892022513229E-8,5.5350665176971E-7,6.46078324456213E-9,6.98847298432315E-8,1.38570554357209E-8,1.99950696999628,307.095123291016,2,614,1,5,0.00382294194945588,0.00086881437660281,0.026155661791563,0.213134765625,13.9990339279175,14.0011520385742,0,0,,,5.80924797058105,,1,,,,,,1,1,1,13.9997119903564,0,0,13.9999677051197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3765465335.86893,13.999888420105,0,,,5,,,,31.5000005066395,,,,,1.11879183295982E-6,3.31953130965195E-8,9.7457611660271,0.0268922624958186,5.59520866320062E-7,1.66013638948304E-8,5.51446188558461E-7,6.16095211559434E-9,9.47137844872568E-8,1.54158344632372E-8,1.99955336843477,242.323211669922,2,484,1,5,0.00379449323407562,0.00102507092134798,0.0260520596057177,1.74972534179687,13.9994373321533,14.000862121582,0,0,,,5.79302358627319,,1,,,,,,1,1,1,13.9997482299805,0,0,13.9999775133635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3765465377.97595,13.999924659729,0,,,5,,,,31.5000005066395,,,,,1.14235403902131E-6,2.46005756799253E-8,10.9709690053684,0.0191189271322868,5.71297118237832E-7,1.23028741641022E-8,5.60855942292106E-7,5.06207115911638E-9,1.08724465059547E-7,1.12132131112262E-8,1.99957955773505,191.482849121094,2,382,1,5,0.00384941109141158,0.00113236189075035,0.0259235613048077,3.36129760742188,13.9992752075195,14.0009870529175,0,0,,,5.77503156661987,,1,,,,,,1,1,1,13.9998197555542,0,0,13.999979700361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3765465420.22656,13.9999055862427,0,,,5,,,,31.5000005066395,,,,,1.16781069939905E-6,2.29449973519532E-8,13.7675766696905,0.0156797873585706,5.84118930061597E-7,1.14766950759965E-8,5.67336672767002E-7,6.86205609348551E-9,1.39010877955548E-7,9.19927801717395E-9,1.99926870932929,151.170669555664,2,302,1,5,0.00386627167706798,0.00136912949158893,0.0257474761456251,5.13375854492188,13.9993848800659,14.000804901123,0,0,,,5.75482416152954,,1,,,,,,1,1,1,13.9999914169312,0,0,13.999947479793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3765465462.35836,13.9998803138733,0,,,5,,,,31.5000005066395,,,,,1.21440118036529E-6,1.81949861852099E-8,16.1996025485391,0.0123956308353642,6.07400083941508E-7,9.10048204406948E-9,5.83283640785571E-7,4.96409165408774E-9,1.69455175087926E-7,7.62735652006955E-9,1.99934312238626,119.384170532227,2,238,1,5,0.00394108542905903,0.0016305214928346,0.0254904702305794,7.11361694335938,13.9995203018188,14.0006713867188,0,0,,,5.74001264572144,,1,,,,,,1,1,1,13.999852180481,0,0,14.0000100589934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
