[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1480485262.746000 11/29/2016, 9:54:22 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.60,  Build 081

INFO, NAME, pb6051
INFO, WEIGHT, 48.400
INFO, AREA, 0.000
INFO, LENGTH, 0.000
INFO, SHAPE, 0
INFO, COMMENT, 
INFO, SEQUENCE FILE: pb6051.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1480485262.746,,1.000000e+003,1.999682e+000,5.397742e-002,0.000000e+000,3,9.885179e-001,0.000000e+000,,,,,,,,,,,,,,18,1,4.000000e+000,1.541972e-003,0.000000e+000,0,0,0,
1480485275.036,,1.000000e+003,2.000037e+000,5.414311e-002,0.000000e+000,3,9.886047e-001,0.000000e+000,,,,,,,,,,,,,,18,1,4.000000e+000,8.319616e-004,0.000000e+000,0,0,0,
1480485287.846,,1.000000e+003,1.999591e+000,5.430539e-002,0.000000e+000,3,9.886636e-001,0.000000e+000,,,,,,,,,,,,,,18,1,4.000000e+000,6.103516e-005,0.000000e+000,0,0,0,
1480485455.558,,1.000000e+003,3.000428e+000,3.678189e-002,0.000000e+000,3,9.888917e-001,0.000000e+000,,,,,,,,,,,,,,18,1,4.000000e+000,1.313925e-003,0.000000e+000,0,1,0,
1480485467.498,,1.000000e+003,3.003922e+000,3.673093e-002,0.000000e+000,3,9.888050e-001,0.000000e+000,,,,,,,,,,,,,,18,1,4.000000e+000,6.463051e-003,0.000000e+000,0,1,0,
1480485480.668,,1.000000e+003,3.004840e+000,3.673030e-002,0.000000e+000,3,9.888840e-001,0.000000e+000,,,,,,,,,,,,,,18,1,4.000000e+000,2.507925e-003,0.000000e+000,0,1,0,
1480485661.813,,1.000000e+003,3.978930e+000,2.764092e-002,0.000000e+000,3,9.893394e-001,0.000000e+000,,,,,,,,,,,,,,18,1,4.000000e+000,2.537012e-003,0.000000e+000,0,0,0,
1480485674.153,,1.000000e+003,3.966665e+000,2.765535e-002,0.000000e+000,3,9.892832e-001,0.000000e+000,,,,,,,,,,,,,,18,1,4.000000e+000,2.199507e-002,0.000000e+000,0,0,0,
1480485699.263,,1.000000e+003,3.979673e+000,2.764366e-002,0.000000e+000,3,9.891676e-001,0.000000e+000,,,,,,,,,,,,,,18,1,4.000000e+000,1.776814e-002,0.000000e+000,0,0,0,
1480485818.743,,1.000000e+003,5.002007e+000,2.222069e-002,0.000000e+000,3,9.895623e-001,0.000000e+000,,,,,,,,,,,,,,18,1,4.000000e+000,3.047943e-003,0.000000e+000,0,0,0,
