[Header]
TITLE,MPMS AC Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1498066196.036000 6/21/2017, 10:29:56 AM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.60,  Build 081

INFO, NAME, pb6051
INFO, WEIGHT, 21.300
INFO, AREA, 20.5
INFO, LENGTH, 500
INFO, SHAPE, -1.3E-6
INFO, COMMENT, 
INFO, SEQUENCE FILE: pb6051_ac_2.seq

STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y2,7,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,m' and m"
FIELDGROUP,m' and m",1,2,3,4,14,15,5,6,7,8,13,26,27,28
FIELDGROUP,Amplitude and Phase,1,2,3,4,14,15,9,10,11,12,13,26,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),m' (emu),m' Scan Std Dev,m" (emu),m" Scan Std Dev,Amplitude (emu),Amplitude Scan Std Dev,Phase (deg),Phase Scan Std Dev,Regression Fit,Drive Amplitude (Oe),Wave Frequency (Hz),Steps per Cycle,Blocks to Average,Scans per Measurement,Clock Frequency,Amplifier Gain,AC Filter,Two Point Measurement,Scan Length,Settling Time (sec),Delta Temp (K),Rot Position (Oe),Error,% Clipped,EC Comp. Running,
1498066196.036,,0.000000e+000,3.999938e+000,1.181545e-004,0.000000e+000,3.978727e-005,0.000000e+000,1.246737e-004,0.000000e+000,1.861040e+001,0.000000e+000,9.990235e-001,6.000000e+000,1.000030e-001,7324,3,1,2,0,3,1,4.000000e+000,0,2.412796e-004,0.000000e+000,0,0.000000e+000,1,
1498066507.657,,0.000000e+000,3.999938e+000,1.071320e-004,0.000000e+000,4.000512e-005,0.000000e+000,1.143577e-004,0.000000e+000,2.047658e+001,0.000000e+000,9.988384e-001,6.000000e+000,1.468662e-001,4987,3,1,2,0,3,1,4.000000e+000,0,8.106232e-005,0.000000e+000,0,0.000000e+000,1,
1498066735.957,,0.000000e+000,4.000502e+000,9.549152e-005,0.000000e+000,3.904252e-005,0.000000e+000,1.031647e-004,0.000000e+000,2.223762e+001,0.000000e+000,9.985564e-001,6.000000e+000,2.156719e-001,3396,3,1,2,0,3,1,4.000000e+000,0,4.029274e-004,0.000000e+000,0,0.000000e+000,1,
1498066908.067,,0.000000e+000,4.000018e+000,8.497584e-005,0.000000e+000,3.688509e-005,0.000000e+000,9.263586e-005,0.000000e+000,2.346401e+001,0.000000e+000,9.982355e-001,6.000000e+000,3.167915e-001,2312,3,1,2,0,3,1,4.000000e+000,0,8.010864e-005,0.000000e+000,0,0.000000e+000,0,
1498067042.277,,0.000000e+000,4.000179e+000,7.554750e-005,0.000000e+000,3.415276e-005,0.000000e+000,8.290860e-005,0.000000e+000,2.432630e+001,0.000000e+000,9.978261e-001,6.000000e+000,4.653252e-001,1574,3,1,2,0,3,1,4.000000e+000,0,7.963181e-005,0.000000e+000,0,0.000000e+000,0,
1498067136.278,,0.000000e+000,3.999978e+000,6.711392e-005,0.000000e+000,3.119693e-005,0.000000e+000,7.401031e-005,0.000000e+000,2.493068e+001,0.000000e+000,9.972869e-001,6.000000e+000,6.832294e-001,1072,3,1,2,0,3,1,4.000000e+000,0,0.000000e+000,0.000000e+000,0,0.000000e+000,1,
1498067233.678,,0.000000e+000,3.999535e+000,5.987097e-005,0.000000e+000,2.851610e-005,0.000000e+000,6.631517e-005,0.000000e+000,2.546811e+001,0.000000e+000,9.966955e-001,6.000000e+000,1.003318e+000,730,3,1,2,0,3,1,4.000000e+000,0,4.019737e-004,0.000000e+000,0,0.000000e+000,1,
1498067354.558,,0.000000e+000,3.999414e+000,5.343154e-005,0.000000e+000,2.532461e-005,0.000000e+000,5.912922e-005,0.000000e+000,2.535925e+001,0.000000e+000,9.957713e-001,6.000000e+000,1.473501e+000,7953,3,1,3,0,2,1,4.000000e+000,0,1.609325e-004,0.000000e+000,0,0.000000e+000,1,
1498067448.098,,0.000000e+000,3.999696e+000,4.781490e-005,0.000000e+000,2.257811e-005,0.000000e+000,5.287755e-005,0.000000e+000,2.527659e+001,0.000000e+000,9.946555e-001,6.000000e+000,2.164127e+000,5415,3,1,3,0,2,1,4.000000e+000,0,2.419949e-004,0.000000e+000,0,0.000000e+000,0,
1498067550.168,,0.000000e+000,3.999736e+000,4.285739e-005,0.000000e+000,2.014874e-005,0.000000e+000,4.735745e-005,0.000000e+000,2.517983e+001,0.000000e+000,9.932767e-001,6.000000e+000,3.178397e+000,3687,3,1,3,0,2,1,4.000000e+000,0,1.609325e-004,0.000000e+000,0,0.000000e+000,0,
1498067632.728,,0.000000e+000,3.999454e+000,3.864443e-005,0.000000e+000,1.801980e-005,0.000000e+000,4.263924e-005,0.000000e+000,2.499953e+001,0.000000e+000,9.917324e-001,6.000000e+000,4.666965e+000,2511,3,1,3,0,2,1,4.000000e+000,0,4.029274e-004,0.000000e+000,0,0.000000e+000,0,
1498068150.959,,0.000000e+000,3.999254e+000,3.480237e-005,0.000000e+000,1.600369e-005,0.000000e+000,3.830565e-005,0.000000e+000,2.469509e+001,0.000000e+000,9.896387e-001,6.000000e+000,6.853070e+000,1710,3,1,3,0,2,1,4.000000e+000,0,1.611710e-004,0.000000e+000,0,0.000000e+000,1,
1498068232.309,,0.000000e+000,3.999133e+000,3.125196e-005,0.000000e+000,1.443870e-005,0.000000e+000,3.442617e-005,0.000000e+000,2.479737e+001,0.000000e+000,9.830188e-001,6.000000e+000,1.006765e+001,1164,3,1,3,0,2,1,4.000000e+000,0,7.987022e-005,0.000000e+000,0,0.000000e+000,1,
