[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1500091929.501000 7/14/2017, 9:12:09 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.60,  Build 081

INFO, NAME, pb6051
INFO, WEIGHT, 70.000
INFO, AREA,
INFO, LENGTH,
INFO, SHAPE,
INFO, COMMENT,
INFO, SEQUENCE FILE: pb6051_dc_mag_v3_ac1500Oe.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1500091929.501,,7.244097e-002,1.799809e+000,-7.899054e-004,0.000000e+000,0.000000e+000,0.000000e+000,2,9.907821e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,7.000000e-001,4.000000e+000,1,1,2.049208e-004,0,1,0,
1500091969.291,,2.509501e+002,1.798506e+000,1.216044e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.915081e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,7.000000e-001,4.000000e+000,1,1,1.430511e-004,0,1,0,
1500091973.791,,2.509501e+002,1.798927e+000,1.294448e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.910612e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,7.000000e-001,4.000000e+000,1,1,9.840727e-004,0,1,0,
1500091978.291,,2.509501e+002,1.799224e+000,1.346651e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.908475e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,7.000000e-001,4.000000e+000,1,1,3.900528e-004,0,1,0,
1500091982.791,,2.509501e+002,1.799214e+000,1.383540e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.909830e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,7.000000e-001,4.000000e+000,1,1,3.700256e-004,0,1,0,
1500091987.541,,2.509501e+002,1.798127e+000,1.412182e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.907794e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,7.000000e-001,4.000000e+000,1,1,5.329847e-004,0,1,0,
1500091992.026,,2.509501e+002,1.797442e+000,1.432130e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.911678e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,7.000000e-001,4.000000e+000,1,1,5.120039e-004,0,1,0,
1500091996.511,,2.509501e+002,1.797759e+000,1.449453e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.910108e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,7.000000e-001,4.000000e+000,1,1,1.145959e-003,0,1,0,
1500092000.996,,2.509501e+002,1.798506e+000,1.461924e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.909309e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,7.000000e-001,4.000000e+000,1,1,3.490448e-004,0,0,0,
1500092005.246,,2.509501e+002,1.798281e+000,1.471925e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.907002e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,7.000000e-001,4.000000e+000,1,1,7.990599e-004,0,0,0,
1500092009.496,,2.509501e+002,1.797678e+000,1.479538e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.907374e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,7.000000e-001,4.000000e+000,1,1,5.729198e-004,0,0,0,
1500092013.746,,2.509501e+002,1.798180e+000,1.486281e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.909359e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,7.000000e-001,4.000000e+000,1,1,1.576900e-003,0,0,0,
1500092018.231,,2.509501e+002,1.798589e+000,1.492051e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.909365e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,7.000000e-001,4.000000e+000,1,1,7.590055e-004,0,0,0,
1500092022.731,,2.509501e+002,1.798301e+000,1.495633e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.909028e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,7.000000e-001,4.000000e+000,1,1,1.850128e-004,0,0,0,
1500092026.981,,2.509501e+002,1.797350e+000,1.500620e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.909264e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,7.000000e-001,4.000000e+000,1,1,1.186013e-003,0,0,0,
1500092031.726,,2.509501e+002,1.797360e+000,1.503225e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.909211e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,7.000000e-001,4.000000e+000,1,1,1.429319e-004,0,0,0,
1500092036.461,,2.509501e+002,1.797811e+000,1.507016e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.909345e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,7.000000e-001,4.000000e+000,1,1,7.570982e-004,0,0,0,
1500092041.266,,2.509501e+002,1.798107e+000,1.509790e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.906884e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,7.000000e-001,4.000000e+000,1,1,1.640320e-004,0,0,0,
1500092045.751,,2.509501e+002,1.797637e+000,1.509326e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.909481e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,7.000000e-001,4.000000e+000,1,1,7.770061e-004,0,0,0,
1500092050.021,,2.509501e+002,1.797483e+000,1.511211e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.910392e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,7.000000e-001,4.000000e+000,1,1,4.700422e-004,0,0,0,
1500092054.271,,2.509501e+002,1.797606e+000,1.513162e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.909139e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,7.000000e-001,4.000000e+000,1,1,1.942992e-003,0,0,0,
1500092058.521,,2.509501e+002,1.797177e+000,1.515490e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.908727e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,7.000000e-001,4.000000e+000,1,1,1.083016e-003,0,0,0,
1500092063.006,,2.509501e+002,1.797933e+000,1.514399e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.909147e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,7.000000e-001,4.000000e+000,1,1,4.299879e-004,0,0,0,
1500092067.506,,2.509501e+002,1.798158e+000,1.513701e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.908593e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,7.000000e-001,4.000000e+000,1,1,1.990795e-005,0,0,0,
1500092072.257,,2.509501e+002,1.798322e+000,1.516753e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.909050e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,7.000000e-001,4.000000e+000,1,1,2.659559e-004,0,0,0,
1500092076.562,,2.509501e+002,1.798384e+000,1.514506e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.908998e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,7.000000e-001,4.000000e+000,1,1,1.659989e-003,0,0,0,
1500092081.107,,2.509501e+002,1.797964e+000,1.514795e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.908192e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,7.000000e-001,4.000000e+000,1,1,8.189678e-004,0,0,0,
